NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Grande Região (Código),Grande Região,Ano (Código),Ano,Variável (Código),Variável,Faixas de pessoal ocupado (Código),Faixas de pessoal ocupado
2,Grande Região,1020,Unidades,2209,1,Norte,2007,2007,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,2272,1,Norte,2008,2008,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,2574,1,Norte,2009,2009,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3129,1,Norte,2010,2010,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3489,1,Norte,2011,2011,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3753,1,Norte,2012,2012,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4503,1,Norte,2013,2013,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4488,1,Norte,2014,2014,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4467,1,Norte,2015,2015,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3837,1,Norte,2016,2016,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3735,1,Norte,2017,2017,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3827,1,Norte,2018,2018,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3297,1,Norte,2019,2019,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3316,1,Norte,2020,2020,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4042,1,Norte,2021,2021,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4973,1,Norte,2022,2022,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,7753,2,Nordeste,2007,2007,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,8308,2,Nordeste,2008,2008,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,8966,2,Nordeste,2009,2009,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,10582,2,Nordeste,2010,2010,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,13032,2,Nordeste,2011,2011,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,14801,2,Nordeste,2012,2012,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,17330,2,Nordeste,2013,2013,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,17815,2,Nordeste,2014,2014,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,17668,2,Nordeste,2015,2015,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,17484,2,Nordeste,2016,2016,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,16780,2,Nordeste,2017,2017,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,16783,2,Nordeste,2018,2018,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,16077,2,Nordeste,2019,2019,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,16288,2,Nordeste,2020,2020,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,18954,2,Nordeste,2021,2021,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,21853,2,Nordeste,2022,2022,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,26030,3,Sudeste,2007,2007,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,27738,3,Sudeste,2008,2008,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,31842,3,Sudeste,2009,2009,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,37906,3,Sudeste,2010,2010,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,45831,3,Sudeste,2011,2011,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,49284,3,Sudeste,2012,2012,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,52687,3,Sudeste,2013,2013,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,61335,3,Sudeste,2014,2014,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,63355,3,Sudeste,2015,2015,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,61591,3,Sudeste,2016,2016,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,63913,3,Sudeste,2017,2017,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,61266,3,Sudeste,2018,2018,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,62272,3,Sudeste,2019,2019,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,64975,3,Sudeste,2020,2020,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,70296,3,Sudeste,2021,2021,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,84445,3,Sudeste,2022,2022,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,12215,4,Sul,2007,2007,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,14542,4,Sul,2008,2008,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,15440,4,Sul,2009,2009,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,19693,4,Sul,2010,2010,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,23339,4,Sul,2011,2011,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,28336,4,Sul,2012,2012,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,32065,4,Sul,2013,2013,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,33853,4,Sul,2014,2014,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,34687,4,Sul,2015,2015,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,33928,4,Sul,2016,2016,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,32038,4,Sul,2017,2017,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,32950,4,Sul,2018,2018,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,34245,4,Sul,2019,2019,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,36698,4,Sul,2020,2020,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,41607,4,Sul,2021,2021,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,48221,4,Sul,2022,2022,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,3384,5,Centro-Oeste,2007,2007,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4018,5,Centro-Oeste,2008,2008,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,4802,5,Centro-Oeste,2009,2009,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,6199,5,Centro-Oeste,2010,2010,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,7684,5,Centro-Oeste,2011,2011,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,8360,5,Centro-Oeste,2012,2012,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,10135,5,Centro-Oeste,2013,2013,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,10442,5,Centro-Oeste,2014,2014,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,11141,5,Centro-Oeste,2015,2015,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,10103,5,Centro-Oeste,2016,2016,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,9817,5,Centro-Oeste,2017,2017,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,9788,5,Centro-Oeste,2018,2018,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,9175,5,Centro-Oeste,2019,2019,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,10713,5,Centro-Oeste,2020,2020,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,13302,5,Centro-Oeste,2021,2021,410,Número de empresas ativas,104029,Total
2,Grande Região,1020,Unidades,15198,5,Centro-Oeste,2022,2022,410,Número de empresas ativas,104029,Total
