UF,ANO,Faixa_Pessoal,Empresas_Ativas,Populacao_38_58,Razao
Norte,2007,Total,2209,5591294,2531.1425984608422
Norte,2008,Total,2272,5800864,2553.1971830985917
Norte,2009,Total,2574,6012956,2336.0357420357423
Norte,2010,Total,3129,6225178,1989.5103867050175
Norte,2011,Total,3489,6437310,1845.0300945829752
Norte,2012,Total,3753,6653258,1772.7839062083667
Norte,2013,Total,4503,6875174,1526.7985787252942
Norte,2014,Total,4488,7104092,1582.9081996434938
Norte,2015,Total,4467,7339984,1643.1573763152003
Norte,2016,Total,3837,7582754,1976.2194422726088
Norte,2017,Total,3735,7831892,2096.8921017402945
Norte,2018,Total,3827,8086706,2113.0666318264957
Norte,2019,Total,3297,8346270,2531.4740673339397
Norte,2020,Total,3316,8596692,2592.488540410133
Nordeste,2007,Total,7753,21887716,2823.1285953824326
Nordeste,2008,Total,8308,22439020,2700.893115069812
Nordeste,2009,Total,8966,22993456,2564.5166183359356
Nordeste,2010,Total,10582,23547758,2225.2653562653563
Nordeste,2011,Total,13032,24096334,1849.0127378759976
Nordeste,2012,Total,14801,24648978,1665.3589622322816
Nordeste,2013,Total,17330,25215896,1455.0430467397578
Nordeste,2014,Total,17815,25806068,1448.5584058377772
Nordeste,2015,Total,17668,26425298,1495.6587050033959
Nordeste,2016,Total,17484,27074400,1548.5243651338367
Nordeste,2017,Total,16780,27743520,1653.368295589988
Nordeste,2018,Total,16783,28416992,1693.2009771792887
Nordeste,2019,Total,16077,29083868,1809.035765379113
Nordeste,2020,Total,16288,29718750,1824.5794449901769
Sudeste,2007,Total,26030,41134420,1580.2696888205917
Sudeste,2008,Total,27738,41960794,1512.7548489436874
Sudeste,2009,Total,31842,42748892,1342.5316248979336
Sudeste,2010,Total,37906,43492108,1147.3673824724317
Sudeste,2011,Total,45831,44190184,964.1985555628287
Sudeste,2012,Total,49284,44864190,910.3195763330898
Sudeste,2013,Total,52687,45527188,864.1066676789341
Sudeste,2014,Total,61335,46195870,753.1730659492948
Sudeste,2015,Total,63355,46879002,739.9416304948307
Sudeste,2016,Total,61591,47582768,772.5604065529054
Sudeste,2017,Total,63913,48301158,755.7329181856586
Sudeste,2018,Total,61266,49017200,800.0718179740802
Sudeste,2019,Total,62272,49718706,798.4119026207605
Sudeste,2020,Total,64975,50370550,775.2297037322047
Sul,2007,Total,12215,14342872,1174.2015554645927
Sul,2008,Total,14542,14616330,1005.1114014578462
Sul,2009,Total,15440,14869608,963.0575129533679
Sul,2010,Total,19693,15101558,766.8490326511959
Sul,2011,Total,23339,15312652,656.0971764000171
Sul,2012,Total,28336,15510730,547.3860107284021
Sul,2013,Total,32065,15702108,489.69617963511615
Sul,2014,Total,33853,15895494,469.54461938380643
Sul,2015,Total,34687,16096596,464.05269985873673
Sul,2016,Total,33928,16308158,480.6695944352747
Sul,2017,Total,32038,16527466,515.8707160247207
Sul,2018,Total,32950,16749952,508.3445220030349
Sul,2019,Total,34245,16970412,495.5588261060009
Sul,2020,Total,36698,17177286,468.07144803531526
Centro-Oeste,2007,Total,3384,6318814,1867.2618203309692
Centro-Oeste,2008,Total,4018,6531076,1625.4544549527127
Centro-Oeste,2009,Total,4802,6742144,1404.0283215326947
Centro-Oeste,2010,Total,6199,6949556,1121.0769478948218
Centro-Oeste,2011,Total,7684,7153440,930.9526288391463
Centro-Oeste,2012,Total,8360,7358534,880.2074162679426
Centro-Oeste,2013,Total,10135,7566058,746.5276763690183
Centro-Oeste,2014,Total,10442,7778030,744.8793334610228
Centro-Oeste,2015,Total,11141,7995416,717.656942823804
Centro-Oeste,2016,Total,10103,8218806,813.501534197763
Centro-Oeste,2017,Total,9817,8446442,860.389324640929
Centro-Oeste,2018,Total,9788,8674768,886.2656313853698
Centro-Oeste,2019,Total,9175,8900740,970.1079019073569
Centro-Oeste,2020,Total,10713,9116328,850.9593951274153
